Bin , nEvents , Efficiencies
152.41,1960,0.0392
165.05,1820,0.0364
178.75,1786,0.03572
193.57,1621,0.03242
209.63,1472,0.02944
227.02,1358,0.02716
245.86,1186,0.02372
266.25,1076,0.02152
288.34,973,0.01946
312.26,810,0.0162
338.16,735,0.0147
366.21,590,0.0118
396.59,514,0.01028
429.49,507,0.01014
465.12,410,0.0082
503.71,319,0.00638
545.49,286,0.00572
590.74,264,0.00528
639.75,199,0.00398
692.82,138,0.00276
750.29,107,0.00214
812.54,95,0.0019
879.94,70,0.0014
952.94,54,0.00108
1032,46,0.00092
1117.6,41,0.00082
1210.3,20,0.0004
1310.7,18,0.00036
1419.4,17,0.00034
1537.2,5,0.0001
1664.7,6,0.00012
1802.8,5,0.0001
1952.4,3,6e-05
2114.3,2,4e-05
2289.7,0,0
2479.7,0,0
