Bin , nEvents , Efficiencies
150,126,0.00252
160,115,0.0023
170,141,0.00282
180,145,0.0029
190,161,0.00322
200,305,0.0061
220,343,0.00686
240,427,0.00854
260,380,0.0076
280,405,0.0081
300,434,0.00868
320,464,0.00928
340,459,0.00918
360,474,0.00948
380,518,0.01036
400,543,0.01086
420,503,0.01006
440,490,0.0098
460,505,0.0101
480,508,0.01016
500,514,0.01028
520,450,0.009
540,522,0.01044
560,468,0.00936
580,486,0.00972
600,703,0.01406
630,646,0.01292
660,639,0.01278
690,624,0.01248
720,625,0.0125
750,553,0.01106
780,539,0.01078
810,506,0.01012
840,477,0.00954
870,453,0.00906
900,657,0.01314
950,594,0.01188
1000,518,0.01036
1050,499,0.00998
1100,442,0.00884
1150,343,0.00686
1200,326,0.00652
1250,323,0.00646
1310,295,0.0059
1370,250,0.005
1430,211,0.00422
1490,202,0.00404
1550,158,0.00316
1610,141,0.00282
1680,129,0.00258
1750,129,0.00258
1820,121,0.00242
1890,108,0.00216
1970,83,0.00166
2050,52,0.00104
