Bin , nEvents , Efficiencies
150,43,0.00086
160,45,0.0009
170,52,0.00104
180,76,0.00152
190,68,0.00136
200,158,0.00316
220,194,0.00388
240,200,0.004
260,227,0.00454
280,247,0.00494
300,274,0.00548
320,302,0.00604
340,301,0.00602
360,284,0.00568
380,300,0.006
400,293,0.00586
420,322,0.00644
440,359,0.00718
460,340,0.0068
480,371,0.00742
500,400,0.008
520,426,0.00852
540,375,0.0075
560,384,0.00768
580,389,0.00778
600,603,0.01206
630,606,0.01212
660,592,0.01184
690,605,0.0121
720,614,0.01228
750,584,0.01168
780,590,0.0118
810,526,0.01052
840,600,0.012
870,578,0.01156
900,916,0.01832
950,862,0.01724
1000,759,0.01518
1050,720,0.0144
1100,664,0.01328
1150,604,0.01208
1200,585,0.0117
1250,610,0.0122
1310,538,0.01076
1370,467,0.00934
1430,442,0.00884
1490,367,0.00734
1550,329,0.00658
1610,318,0.00636
1680,264,0.00528
1750,243,0.00486
1820,198,0.00396
1890,202,0.00404
1970,171,0.00342
2050,114,0.00228
