Bin , nEvents , Efficiencies
152.41,633,0.01266
165.05,712,0.01424
178.75,802,0.01604
193.57,901,0.01802
209.63,914,0.01828
227.02,1026,0.02052
245.86,1175,0.0235
266.25,1189,0.02378
288.34,1285,0.0257
312.26,1234,0.02468
338.16,1307,0.02614
366.21,1418,0.02836
396.59,1291,0.02582
429.49,1355,0.0271
465.12,1338,0.02676
503.71,1301,0.02602
545.49,1326,0.02652
590.74,1263,0.02526
639.75,1232,0.02464
692.82,1181,0.02362
750.29,1009,0.02018
812.54,984,0.01968
879.94,925,0.0185
952.94,799,0.01598
1032,718,0.01436
1117.6,619,0.01238
1210.3,488,0.00976
1310.7,438,0.00876
1419.4,313,0.00626
1537.2,267,0.00534
1664.7,170,0.0034
1802.8,99,0.00198
1952.4,59,0.00118
2114.3,31,0.00062
2289.7,29,0.00058
2479.7,12,0.00024
