Mass,"X10LL[1,1]","X10LL[2,1]","X10LL[3,1]","X10RR[1,1]","X10RR[2,1]","X10RR[3,1]","X10LL[1,2]","X10LL[2,2]","X10LL[3,2]","X10RR[1,2]","X10RR[2,2]","X10RR[3,2]","X10LL[1,3]","X10LL[2,3]","X10LL[3,3]","X10RR[1,3]","X10RR[2,3]","X10RR[3,3]"
1000,"0.0345996359","0.03504979131","0.03503489368","0.0349308898","0.03505174972","0.03505759368","0.0345996359","0.03504879131","0.03505759368","0.0349308898","0.03505174972","0.03505759368","0.0345996318","0.03504979192","0.03505759398","0.0349308794","0.03505175018","0.03505759398"
1500,"0.00112348316","0.001147093827","0.001148367654","0.0011404581","0.001147192367","0.001147128654","0.00112348316","0.001147093827","0.001147128654","0.0011404581","0.001147192367","0.001147128654","0.00112348116","0.001147093811","0.001147128663","0.00114045778","0.001147192338","0.001147128663"
2000,"5.81E-05","5.96E-05","5.96E-05","5.92E-05","5.96E-05","5.96E-05","5.80E-05","5.95E-05","5.96E-05","5.92E-05","5.96E-05","5.96E-05","5.80E-05","5.96E-05","5.96E-05","5.92E-05","5.96E-05","5.96E-05"
2500,"3.778e-06","3.76E-06","3.77E-06","3.74E-06","3.76E-06","3.76E-06","3.65E-06","3.76E-06","3.76E-06","3.74E-06","3.76E-06","3.76E-06","3.65E-06","3.76E-06","3.76E-06","3.74E-06","3.76E-06","3.76E-06"
3000,"2.709e-07","2.69E-07","2.70E-07","2.67E-07","2.69E-07","2.69E-07","2.59E-07","2.69E-07","2.69E-07","2.67E-07","2.69E-07","2.69E-07","2.59E-07","2.69E-07","2.69E-07","2.67E-07","2.69E-07","2.69E-07"
3500,"2.166e-08","4.62E-09","4.63E-09","1.83E-08","1.85E-08","1.85E-08","4.44E-09","4.62E-09","4.63E-09","1.83E-08","1.85E-08","1.85E-08","2.1458072549999995e-08","4.62E-09","4.63E-09","1.84E-08","1.85E-08","1.85E-08"
4000,"1.724e-09","3.66E-10","3.67E-10","1.45E-09","1.46E-09","1.47E-09","3.50E-10","3.66E-10","3.67E-10","1.45E-09","1.46E-09","1.47E-09","1.7076880442e-09","3.65E-10","3.67E-10","1.45E-09","1.46E-09","1.47E-09"
4500,"1.04e-10","2.19E-11","2.20E-11","8.73E-11","8.80E-11","8.77E-11","2.10E-11","2.19E-11","2.20E-11","8.73E-11","8.80E-11","8.77E-11","1.0318453982399999e-10","2.20E-11","2.20E-11","8.71E-11","8.78E-11","8.77E-11"
5000,"3.275e-12","6.90E-13","6.89E-13","2.74E-12","2.77E-12","2.76E-12","6.63E-13","6.90E-13","6.89E-13","2.74E-12","2.77E-12","2.76E-12","3.26059120885e-12","6.90E-13","6.89E-13","2.75E-12","2.76E-12","2.76E-12"
5500,"5.73E-15","5.94E-15","5.94E-15","2.36E-14","2.38E-14","2.38E-14","5.73E-15","5.94E-15","5.94E-15","2.36E-14","2.38E-14","2.38E-14","5.75E-15","5.94E-15","5.94E-15","2.36E-14","2.38E-14","2.38E-14"
6000,"2.14E-18","2.16E-18","2.17E-18","8.63E-18","8.64E-18","8.67E-18","2.14E-18","2.16E-18","2.17E-18","8.63E-18","8.64E-18","8.67E-18","2.14E-18","2.17E-18","2.17E-18","8.64E-18","8.67E-18","8.67E-18"
6500,"1.56E-30","1.11E-30","9.57E-31","1.18E-31","1.26E-31","9.55E-32","1.56E-30","1.11E-30","9.57E-31","1.18E-31","1.26E-31","9.55E-32","1.56E-30","1.11E-30","9.56E-31","1.17E-31","1.26E-31","9.57E-32"
