Bin , nEvents , Efficiencies
152.41,0,0
165.05,1,4e-05
178.75,0,0
193.57,0,0
209.63,0,0
227.02,0,0
245.86,0,0
266.25,0,0
288.34,0,0
312.26,2,8e-05
338.16,1,4e-05
366.21,0,0
396.59,0,0
429.49,3,0.00012
465.12,1,4e-05
503.71,4,0.00016
545.49,3,0.00012
590.74,2,8e-05
639.75,4,0.00016
692.82,2,8e-05
750.29,7,0.00028
812.54,13,0.00052
879.94,12,0.00048
952.94,25,0.001
1032,26,0.00104
1117.6,25,0.001
1210.3,36,0.00144
1310.7,42,0.00168
1419.4,34,0.00136
1537.2,56,0.00224
1664.7,57,0.00228
1802.8,87,0.00348
1952.4,111,0.00444
2114.3,137,0.00548
2289.7,172,0.00688
2479.7,239,0.00956
