Bin , nEvents , Efficiencies
150,2,4e-05
160,6,0.00012
170,1,2e-05
180,3,6e-05
190,3,6e-05
200,16,0.00032
220,15,0.0003
240,13,0.00026
260,24,0.00048
280,38,0.00076
300,47,0.00094
320,49,0.00098
340,52,0.00104
360,55,0.0011
380,78,0.00156
400,85,0.0017
420,98,0.00196
440,111,0.00222
460,124,0.00248
480,104,0.00208
500,125,0.0025
520,145,0.0029
540,142,0.00284
560,152,0.00304
580,141,0.00282
600,224,0.00448
630,241,0.00482
660,218,0.00436
690,264,0.00528
720,256,0.00512
750,293,0.00586
780,257,0.00514
810,314,0.00628
840,296,0.00592
870,311,0.00622
900,483,0.00966
950,517,0.01034
1000,514,0.01028
1050,542,0.01084
1100,585,0.0117
1150,553,0.01106
1200,588,0.01176
1250,670,0.0134
1310,662,0.01324
1370,690,0.0138
1430,655,0.0131
1490,691,0.01382
1550,613,0.01226
1610,756,0.01512
1680,703,0.01406
1750,686,0.01372
1820,661,0.01322
1890,723,0.01446
1970,684,0.01368
2050,670,0.0134
