Bin , nEvents , Efficiencies
150,78,0.00312
160,69,0.00276
170,86,0.00344
180,78,0.00312
190,76,0.00304
200,184,0.00736
220,204,0.00816
240,181,0.00724
260,207,0.00828
280,200,0.008
300,192,0.00768
320,197,0.00788
340,186,0.00744
360,208,0.00832
380,221,0.00884
400,207,0.00828
420,174,0.00696
440,167,0.00668
460,184,0.00736
480,169,0.00676
500,189,0.00756
520,196,0.00784
540,151,0.00604
560,189,0.00756
580,161,0.00644
600,251,0.01004
630,240,0.0096
660,218,0.00872
690,203,0.00812
720,225,0.009
750,181,0.00724
780,205,0.0082
810,198,0.00792
840,174,0.00696
870,186,0.00744
900,281,0.01124
950,266,0.01064
1000,269,0.01076
1050,229,0.00916
1100,235,0.0094
1150,218,0.00872
1200,213,0.00852
1250,202,0.00808
1310,220,0.0088
1370,208,0.00832
1430,196,0.00784
1490,148,0.00592
1550,143,0.00572
1610,162,0.00648
1680,145,0.0058
1750,150,0.006
1820,141,0.00564
1890,131,0.00524
1970,142,0.00568
2050,126,0.00504
