"X10RR[1,3]","X10RR[3,3]",Delta_chisquare
-3.5,-3.5,1092408.7454516427
-3.5,-3.4,1080509.8161010102
-3.5,-3.3,1069619.6136972588
-3.5,-3.1999999999999997,1059677.9797709386
-3.5,-3.0999999999999996,1050626.8739830349
-3.5,-2.9999999999999996,1042410.3266286526
-3.5,-2.8999999999999995,1034974.3954007847
-3.5,-2.7999999999999994,1028267.1261517976
-3.5,-2.6999999999999993,1022238.5173985753
-3.5,-2.599999999999999,1016840.488325621
-3.5,-2.499999999999999,1012026.850048718
-3.5,-2.399999999999999,1007753.2799101003
-3.5,-2.299999999999999,1003977.2985844011
-3.5,-2.199999999999999,1000658.2497829839
-3.5,-2.0999999999999988,997757.2823525842
-3.5,-1.9999999999999987,995237.3345725236
-3.5,-1.8999999999999986,993063.1204630873
-3.5,-1.7999999999999985,991201.1179259812
-3.5,-1.6999999999999984,989619.5585461187
-3.5,-1.5999999999999983,988288.4188923155
-3.5,-1.4999999999999982,987179.4131627973
-3.5,-1.3999999999999981,986265.98702976
-3.5,-1.299999999999998,985523.3125455439
-3.5,-1.199999999999998,984928.2839813215
-3.5,-1.0999999999999979,984459.5144775204
-3.5,-0.9999999999999978,984097.3333935359
-3.5,-0.8999999999999977,983823.7842526172
-3.5,-0.7999999999999976,983622.6231861379
-3.5,-0.6999999999999975,983479.3177897955
-3.5,-0.5999999999999974,983381.0463126075
-3.5,-0.49999999999999734,983316.6971079083
-3.5,-0.39999999999999725,983276.8682838739
-3.5,-0.29999999999999716,983253.867499435
-3.5,-0.19999999999999707,983241.7118597674
-3.5,-0.09999999999999698,983236.127873877
-3.5,3.1086244689504383e-15,983234.5514451254
-3.5,0.1000000000000032,983236.127873877
-3.5,0.2000000000000033,983241.7118597674
-3.5,0.3000000000000034,983253.867499435
-3.5,0.40000000000000346,983276.8682838739
-3.5,0.5000000000000036,983316.6971079083
-3.5,0.6000000000000036,983381.0463126075
-3.5,0.7000000000000037,983479.3177897955
-3.5,0.8000000000000038,983622.6231861379
-3.5,0.9000000000000039,983823.7842526172
-3.5,1.000000000000004,984097.3333935359
-3.5,1.100000000000004,984459.5144775204
-3.5,1.2000000000000042,984928.2839813215
-3.5,1.3000000000000043,985523.3125455439
-3.5,1.4000000000000044,986265.98702976
-3.5,1.5000000000000044,987179.4131627975
-3.5,1.6000000000000045,988288.4188923155
-3.5,1.7000000000000046,989619.5585461188
-3.5,1.8000000000000047,991201.1179259813
-3.5,1.9000000000000048,993063.1204630875
-3.5,2.000000000000005,995237.3345725237
