Bin , nEvents , Efficiencies
152.41,1931,0.03862
165.05,1907,0.03814
178.75,1778,0.03556
193.57,1690,0.0338
209.63,1579,0.03158
227.02,1455,0.0291
245.86,1310,0.0262
266.25,1108,0.02216
288.34,1041,0.02082
312.26,949,0.01898
338.16,794,0.01588
366.21,681,0.01362
396.59,552,0.01104
429.49,486,0.00972
465.12,439,0.00878
503.71,357,0.00714
545.49,307,0.00614
590.74,273,0.00546
639.75,206,0.00412
692.82,162,0.00324
750.29,132,0.00264
812.54,84,0.00168
879.94,77,0.00154
952.94,51,0.00102
1032,47,0.00094
1117.6,24,0.00048
1210.3,15,0.0003
1310.7,11,0.00022
1419.4,11,0.00022
1537.2,3,6e-05
1664.7,5,0.0001
1802.8,5,0.0001
1952.4,1,2e-05
2114.3,7,0.00014
2289.7,0,0
2479.7,0,0
