Bin , nEvents , Efficiencies
150,47,0.00094
160,45,0.0009
170,61,0.00122
180,71,0.00142
190,89,0.00178
200,172,0.00344
220,183,0.00366
240,212,0.00424
260,214,0.00428
280,215,0.0043
300,235,0.0047
320,231,0.00462
340,256,0.00512
360,298,0.00596
380,294,0.00588
400,276,0.00552
420,283,0.00566
440,319,0.00638
460,321,0.00642
480,334,0.00668
500,388,0.00776
520,328,0.00656
540,335,0.0067
560,332,0.00664
580,337,0.00674
600,524,0.01048
630,490,0.0098
660,524,0.01048
690,539,0.01078
720,585,0.0117
750,544,0.01088
780,548,0.01096
810,524,0.01048
840,530,0.0106
870,532,0.01064
900,819,0.01638
950,863,0.01726
1000,770,0.0154
1050,791,0.01582
1100,755,0.0151
1150,701,0.01402
1200,647,0.01294
1250,745,0.0149
1310,674,0.01348
1370,631,0.01262
1430,621,0.01242
1490,546,0.01092
1550,479,0.00958
1610,492,0.00984
1680,464,0.00928
1750,337,0.00674
1820,301,0.00602
1890,306,0.00612
1970,271,0.00542
2050,206,0.00412
