Bin , nEvents , Efficiencies
152.41,2,4e-05
165.05,4,8e-05
178.75,5,0.0001
193.57,3,6e-05
209.63,5,0.0001
227.02,6,0.00012
245.86,5,0.0001
266.25,8,0.00016
288.34,22,0.00044
312.26,24,0.00048
338.16,28,0.00056
366.21,51,0.00102
396.59,75,0.0015
429.49,87,0.00174
465.12,133,0.00266
503.71,186,0.00372
545.49,210,0.0042
590.74,244,0.00488
639.75,321,0.00642
692.82,318,0.00636
750.29,406,0.00812
812.54,487,0.00974
879.94,536,0.01072
952.94,610,0.0122
1032,737,0.01474
1117.6,807,0.01614
1210.3,974,0.01948
1310.7,1042,0.02084
1419.4,1255,0.0251
1537.2,1333,0.02666
1664.7,1479,0.02958
1802.8,1531,0.03062
1952.4,1723,0.03446
2114.3,1659,0.03318
2289.7,1741,0.03482
2479.7,1659,0.03318
