Bin , nEvents , Efficiencies
150,0,0
160,2,4e-05
170,1,2e-05
180,0,0
190,0,0
200,3,6e-05
220,5,0.0001
240,3,6e-05
260,4,8e-05
280,3,6e-05
300,5,0.0001
320,5,0.0001
340,3,6e-05
360,11,0.00022
380,11,0.00022
400,18,0.00036
420,20,0.0004
440,25,0.0005
460,21,0.00042
480,30,0.0006
500,41,0.00082
520,48,0.00096
540,46,0.00092
560,50,0.001
580,52,0.00104
600,85,0.0017
630,98,0.00196
660,99,0.00198
690,121,0.00242
720,124,0.00248
750,110,0.0022
780,113,0.00226
810,133,0.00266
840,123,0.00246
870,128,0.00256
900,231,0.00462
950,237,0.00474
1000,234,0.00468
1050,237,0.00474
1100,281,0.00562
1150,284,0.00568
1200,283,0.00566
1250,342,0.00684
1310,380,0.0076
1370,419,0.00838
1430,425,0.0085
1490,459,0.00918
1550,419,0.00838
1610,524,0.01048
1680,530,0.0106
1750,577,0.01154
1820,571,0.01142
1890,637,0.01274
1970,651,0.01302
2050,653,0.01306
