Bin , nEvents , Efficiencies
152.41,0,0
165.05,0,0
178.75,0,0
193.57,1,2e-05
209.63,1,2e-05
227.02,0,0
245.86,0,0
266.25,2,4e-05
288.34,3,6e-05
312.26,4,8e-05
338.16,1,2e-05
366.21,1,2e-05
396.59,3,6e-05
429.49,10,0.0002
465.12,8,0.00016
503.71,12,0.00024
545.49,17,0.00034
590.74,28,0.00056
639.75,34,0.00068
692.82,39,0.00078
750.29,68,0.00136
812.54,87,0.00174
879.94,103,0.00206
952.94,126,0.00252
1032,158,0.00316
1117.6,189,0.00378
1210.3,241,0.00482
1310.7,262,0.00524
1419.4,271,0.00542
1537.2,338,0.00676
1664.7,397,0.00794
1802.8,446,0.00892
1952.4,576,0.01152
2114.3,601,0.01202
2289.7,683,0.01366
2479.7,858,0.01716
