Bin , nEvents , Efficiencies
150,137,0.00274
160,169,0.00338
170,155,0.0031
180,157,0.00314
190,144,0.00288
200,374,0.00748
220,362,0.00724
240,428,0.00856
260,417,0.00834
280,416,0.00832
300,432,0.00864
320,386,0.00772
340,412,0.00824
360,409,0.00818
380,395,0.0079
400,407,0.00814
420,404,0.00808
440,436,0.00872
460,410,0.0082
480,418,0.00836
500,376,0.00752
520,365,0.0073
540,388,0.00776
560,378,0.00756
580,356,0.00712
600,528,0.01056
630,508,0.01016
660,524,0.01048
690,489,0.00978
720,463,0.00926
750,449,0.00898
780,416,0.00832
810,465,0.0093
840,430,0.0086
870,397,0.00794
900,572,0.01144
950,570,0.0114
1000,541,0.01082
1050,466,0.00932
1100,459,0.00918
1150,444,0.00888
1200,372,0.00744
1250,437,0.00874
1310,399,0.00798
1370,371,0.00742
1430,346,0.00692
1490,313,0.00626
1550,233,0.00466
1610,272,0.00544
1680,303,0.00606
1750,232,0.00464
1820,226,0.00452
1890,201,0.00402
1970,182,0.00364
2050,167,0.00334
