Bin , nEvents , Efficiencies
152.41,388,0.00776
165.05,487,0.00974
178.75,536,0.01072
193.57,618,0.01236
209.63,757,0.01514
227.02,789,0.01578
245.86,930,0.0186
266.25,979,0.01958
288.34,1137,0.02274
312.26,1234,0.02468
338.16,1318,0.02636
366.21,1386,0.02772
396.59,1453,0.02906
429.49,1566,0.03132
465.12,1602,0.03204
503.71,1628,0.03256
545.49,1688,0.03376
590.74,1706,0.03412
639.75,1685,0.0337
692.82,1557,0.03114
750.29,1484,0.02968
812.54,1428,0.02856
879.94,1327,0.02654
952.94,1220,0.0244
1032,1043,0.02086
1117.6,855,0.0171
1210.3,749,0.01498
1310.7,627,0.01254
1419.4,492,0.00984
1537.2,401,0.00802
1664.7,321,0.00642
1802.8,209,0.00418
1952.4,180,0.0036
2114.3,87,0.00174
2289.7,67,0.00134
2479.7,34,0.00068
