Bin , nEvents , Efficiencies
152.41,247,0.00494
165.05,298,0.00596
178.75,350,0.007
193.57,408,0.00816
209.63,474,0.00948
227.02,572,0.01144
245.86,592,0.01184
266.25,644,0.01288
288.34,737,0.01474
312.26,781,0.01562
338.16,917,0.01834
366.21,987,0.01974
396.59,1071,0.02142
429.49,1117,0.02234
465.12,1128,0.02256
503.71,1271,0.02542
545.49,1375,0.0275
590.74,1359,0.02718
639.75,1429,0.02858
692.82,1527,0.03054
750.29,1536,0.03072
812.54,1542,0.03084
879.94,1561,0.03122
952.94,1514,0.03028
1032,1481,0.02962
1117.6,1410,0.0282
1210.3,1355,0.0271
1310.7,1327,0.02654
1419.4,1182,0.02364
1537.2,1083,0.02166
1664.7,937,0.01874
1802.8,810,0.0162
1952.4,634,0.01268
2114.3,547,0.01094
2289.7,385,0.0077
2479.7,263,0.00526
