Bin , nEvents , Efficiencies
152.41,578,0.01156
165.05,641,0.01282
178.75,701,0.01402
193.57,844,0.01688
209.63,880,0.0176
227.02,956,0.01912
245.86,1001,0.02002
266.25,1103,0.02206
288.34,1081,0.02162
312.26,1113,0.02226
338.16,1189,0.02378
366.21,1193,0.02386
396.59,1292,0.02584
429.49,1334,0.02668
465.12,1254,0.02508
503.71,1269,0.02538
545.49,1192,0.02384
590.74,1240,0.0248
639.75,1241,0.02482
692.82,1191,0.02382
750.29,1147,0.02294
812.54,1129,0.02258
879.94,1026,0.02052
952.94,1003,0.02006
1032,842,0.01684
1117.6,793,0.01586
1210.3,662,0.01324
1310.7,578,0.01156
1419.4,515,0.0103
1537.2,444,0.00888
1664.7,374,0.00748
1802.8,307,0.00614
1952.4,225,0.0045
2114.3,138,0.00276
2289.7,118,0.00236
2479.7,77,0.00154
