Mass,"X10LL[1,1]","X10LL[2,1]","X10LL[3,1]","X10RR[1,1]","X10RR[2,1]","X10RR[3,1]","X10LL[1,2]","X10LL[2,2]","X10LL[3,2]","X10RR[1,2]","X10RR[2,2]","X10RR[3,2]","X10LL[1,3]","X10LL[2,3]","X10LL[3,3]","X10RR[1,3]","X10RR[2,3]","X10RR[3,3]"
1000,"0.482239543","0.07007488002","0.03669502132","0.474578212","0.070669319","0.03728146738","0.482239543","0.07007488002","0.03669502132","0.474578212","0.070669319","0.03728146738","0.4824229404","0.07015791136","0.0367878835","0.474373224","0.07081108472","0.03736406816"
1500,"0.03919370997","0.004837170917","0.002266587227","0.03847703624","0.004859150936","0.002286480502","0.03919370997","0.004837170917","0.002266587227","0.03847703624","0.004859150936","0.002286480502","0.03915472247","0.004848055683","0.002270899093","0.03848637614","0.004868038272","0.002293188679"
2000,"0.005085862901","0.0005603354662","0.0002339646586","0.004998674531","0.0005616163257","0.0002352717258","0.005085862901","0.0005603354662","0.0002339646586","0.004998674531","0.0005616163257","0.0002352717258","0.005088238983","0.000560926866","0.0002343837045","0.005004492212","0.000562106276","0.0002355765364"
2500,"0.0004798","8.62E-05","3.20E-05","0.0008411252703","8.64E-05","3.21E-05","0.0008547678116","8.62E-05","3.20E-05","0.0008411252703","8.64E-05","3.21E-05","0.0008543092479","8.64E-05","3.20E-05","0.0008403580842","8.64E-05","3.22E-05"
3000,"9.118e-05","1.58E-05","5.09E-06","0.0001646602926","1.58E-05","5.10E-06","0.000167239648","1.58E-05","5.09E-06","0.0001646602926","1.58E-05","5.10E-06","0.0001668949593","1.58E-05","5.10E-06","0.0001643657718","1.58E-05","5.11E-06"
3500,"1.921e-05","3.21E-06","8.88E-07","3.55E-05","3.21E-06","8.90E-07","3.60E-05","3.21E-06","8.88E-07","3.55E-05","3.21E-06","8.90E-07","1.9782743940470003e-05","3.21E-06","8.88E-07","3.55E-05","3.21E-06","8.89E-07"
4000,"4.27e-06","6.99E-07","1.62E-07","8.10E-06","7.00E-07","1.62E-07","8.21E-06","6.99E-07","1.62E-07","8.10E-06","7.00E-07","1.62E-07","4.381902856059001e-06","7.01E-07","1.62E-07","8.10E-06","7.00E-07","1.62E-07"
4500,"9.857e-07","1.60E-07","3.01E-08","1.92E-06","1.60E-07","3.01E-08","1.94E-06","1.60E-07","3.01E-08","1.92E-06","1.60E-07","3.01E-08","1.0044283209001e-06","1.60E-07","3.01E-08","1.92E-06","1.60E-07","3.01E-08"
5000,"2.299e-07","3.74E-08","5.60E-09","4.58E-07","3.74E-08","5.60E-09","4.62E-07","3.74E-08","5.60E-09","4.58E-07","3.74E-08","5.60E-09","2.3371252606101e-07","3.73E-08","5.60E-09","4.58E-07","3.73E-08","5.60E-09"
5500,"1.10E-07","8.87E-09","1.02E-09","1.09E-07","8.86E-09","1.02E-09","1.10E-07","8.87E-09","1.02E-09","1.09E-07","8.86E-09","1.02E-09","1.10E-07","8.87E-09","1.02E-09","1.09E-07","8.87E-09","1.02E-09"
6000,"2.58E-08","2.08E-09","1.83E-10","2.56E-08","2.08E-09","1.83E-10","2.58E-08","2.08E-09","1.83E-10","2.56E-08","2.08E-09","1.83E-10","2.57E-08","2.08E-09","1.83E-10","2.56E-08","2.08E-09","1.83E-10"
6500,"5.87E-09","4.80E-10","3.13E-11","5.83E-09","4.80E-10","3.13E-11","5.87E-09","4.80E-10","3.13E-11","5.83E-09","4.80E-10","3.13E-11","5.88E-09","4.81E-10","3.13E-11","5.83E-09","4.80E-10","3.13E-11"
7000,"1.29E-09","1.07E-10","5.13E-12","1.28E-09","1.07E-10","5.13E-12","1.29E-09","1.07E-10","5.13E-12","1.28E-09","1.07E-10","5.13E-12","1.29E-09","1.07E-10","5.13E-12","1.28E-09","1.07E-10","5.13E-12"
7500,"2.68E-10","2.28E-11","7.84E-13","2.66E-10","2.27E-11","7.84E-13","2.68E-10","2.28E-11","7.84E-13","2.66E-10","2.27E-11","7.84E-13","2.68E-10","2.27E-11","7.84E-13","2.66E-10","2.27E-11","7.84E-13"
8000,"5.18E-11","4.48E-12","1.09E-13","5.13E-11","4.48E-12","1.09E-13","5.18E-11","4.48E-12","1.09E-13","5.13E-11","4.48E-12","1.09E-13","5.17E-11","4.49E-12","1.09E-13","5.13E-11","4.48E-12","1.09E-13"
