Mass,"X10LL[1,1]","X10LL[2,1]","X10LL[3,1]","X10RR[1,1]","X10RR[2,1]","X10RR[3,1]","X10LL[1,2]","X10LL[2,2]","X10LL[3,2]","X10RR[1,2]","X10RR[2,2]","X10RR[3,2]","X10LL[1,3]","X10LL[2,3]","X10LL[3,3]","X10RR[1,3]","X10RR[2,3]","X10RR[3,3]"
1000,"0.5613","0.070534","0.020154","0.56412","0.070534","0.020154","0.56412","0.070549","0.020154","0.56412","0.070534","0.020154","0.56362","0.07061","0.020139","0.56362","0.07061","0.020139"
1500,"0.12976","0.015265","0.0042576","0.12999","0.015265","0.0042576","0.12999","0.0152","0.0042576","0.12999","0.015265","0.0042576","0.12939","0.015186","0.0043098","0.12939","0.015186","0.0043098"
2000,"0.044479","0.0050174","0.0014067","0.0445","0.0050174","0.0014067","0.0445","0.0050067","0.0014067","0.0445","0.0050174","0.0014067","0.044339","0.0050585","0.0013881","0.044339","0.0050585","0.0013881"
2500,"0.01889","0.0021027","0.00058853","0.01871","0.0021027","0.00058853","0.01871","0.0020975","0.00058853","0.01871","0.0021027","0.00058853","0.018947","0.0020973","0.00059574","0.018947","0.0020973","0.00059574"
3000,"0.009336","0.0010343","0.00029103","0.0092651","0.0010343","0.00029103","0.0092651","0.0010279","0.00029103","0.0092651","0.0010343","0.00029103","0.0094573","0.0010277","0.00028739","0.0094573","0.0010277","0.00028739"
3500,"0.005155","0.00055953","0.00015667","0.0051456","0.00055997","0.00015667","0.0051495","0.00055953","0.00015667","0.0051456","0.00055997","0.00015667","0.0051467","0.00055891","0.00015667","0.005159","0.00055891","0.00015667"
4000,"0.00306","0.00033026","9.24E-05","0.0030472","0.00033044","9.24E-05","0.0030818","0.00033026","9.24E-05","0.0030472","0.00033044","9.24E-05","0.0030333","0.00033101","9.25E-05","0.0030493","0.00033101","9.25E-05"
4500,"0.001833","0.00020709","5.76E-05","0.001939","0.00020818","5.76E-05","0.0019255","0.00020709","5.76E-05","0.001939","0.00020818","5.76E-05","0.0019401","0.00020616","5.73E-05","0.0019196","0.00020616","5.73E-05"
5000,"0.001276","0.00013636","3.82E-05","0.0012728","0.00013659","3.82E-05","0.0012576","0.00013636","3.82E-05","0.0012728","0.00013659","3.82E-05","0.0012667","0.00013674","3.83E-05","0.0012697","0.00013674","3.83E-05"
5500,"0.00086203","9.29E-05","2.61E-05","0.00085588","9.29E-05","2.61E-05","0.00087008","9.29E-05","2.61E-05","0.00085588","9.29E-05","2.61E-05","0.00087784","9.26E-05","2.61E-05","0.00087784","9.26E-05","2.61E-05"
6000,"0.00061961","6.61E-05","1.84E-05","0.00062106","6.59E-05","1.84E-05","0.00062149","6.61E-05","1.84E-05","0.00062106","6.59E-05","1.84E-05","0.00061795","6.62E-05","1.83E-05","0.00061795","6.62E-05","1.83E-05"
6500,"0.00045249","4.79E-05","1.32E-05","0.00045289","4.80E-05","1.32E-05","0.00045423","4.79E-05","1.32E-05","0.00045289","4.80E-05","1.32E-05","0.00045222","4.80E-05","1.33E-05","0.00045222","4.80E-05","1.33E-05"
7000,"0.00033763","3.58E-05","9.80E-06","0.00033988","3.58E-05","9.80E-06","0.0003386","3.58E-05","9.80E-06","0.00033988","3.58E-05","9.80E-06","0.00033338","3.56E-05","9.98E-06","0.00033338","3.56E-05","9.98E-06"
7500,"0.00025457","2.70E-05","7.58E-06","0.0002545","2.69E-05","7.58E-06","0.00025404","2.70E-05","7.58E-06","0.0002545","2.69E-05","7.58E-06","0.00025575","2.73E-05","7.56E-06","0.00025575","2.73E-05","7.56E-06"
8000,"0.00019986","2.10E-05","5.83E-06","0.00019998","2.09E-05","5.83E-06","0.00019769","2.10E-05","5.83E-06","0.00019998","2.09E-05","5.83E-06","0.00019948","2.07E-05","5.83E-06","0.00019948","2.07E-05","5.83E-06"
