Bin , nEvents , Efficiencies
152.41,861,0.03444
165.05,850,0.034
178.75,804,0.03216
193.57,786,0.03144
209.63,739,0.02956
227.02,712,0.02848
245.86,692,0.02768
266.25,695,0.0278
288.34,579,0.02316
312.26,600,0.024
338.16,500,0.02
366.21,547,0.02188
396.59,491,0.01964
429.49,420,0.0168
465.12,398,0.01592
503.71,312,0.01248
545.49,269,0.01076
590.74,258,0.01032
639.75,229,0.00916
692.82,207,0.00828
750.29,159,0.00636
812.54,163,0.00652
879.94,132,0.00528
952.94,121,0.00484
1032,108,0.00432
1117.6,90,0.0036
1210.3,69,0.00276
1310.7,75,0.003
1419.4,58,0.00232
1537.2,36,0.00144
1664.7,26,0.00104
1802.8,13,0.00052
1952.4,17,0.00068
2114.3,15,0.0006
2289.7,6,0.00024
2479.7,7,0.00028
