Bin , nEvents , Efficiencies
150,570,0.0228
160,504,0.02016
170,466,0.01864
180,387,0.01548
190,361,0.01444
200,616,0.02464
220,466,0.01864
240,451,0.01804
260,331,0.01324
280,265,0.0106
300,220,0.0088
320,214,0.00856
340,184,0.00736
360,169,0.00676
380,141,0.00564
400,119,0.00476
420,93,0.00372
440,81,0.00324
460,68,0.00272
480,60,0.0024
500,62,0.00248
520,47,0.00188
540,40,0.0016
560,44,0.00176
580,34,0.00136
600,53,0.00212
630,45,0.0018
660,40,0.0016
690,22,0.00088
720,26,0.00104
750,21,0.00084
780,21,0.00084
810,11,0.00044
840,9,0.00036
870,9,0.00036
900,16,0.00064
950,17,0.00068
1000,11,0.00044
1050,11,0.00044
1100,13,0.00052
1150,4,0.00016
1200,4,0.00016
1250,1,4e-05
1310,7,0.00028
1370,3,0.00012
1430,1,4e-05
1490,1,4e-05
1550,3,0.00012
1610,3,0.00012
1680,2,8e-05
1750,3,0.00012
1820,1,4e-05
1890,2,8e-05
1970,2,8e-05
2050,0,0
