Bin , nEvents , Efficiencies
152.41,1,2e-05
165.05,0,0.0
178.75,3,6e-05
193.57,1,2e-05
209.63,3,6e-05
227.02,5,0.0001
245.86,2,4e-05
266.25,2,4e-05
288.34,7,0.00014
312.26,13,0.00026
338.16,21,0.00042
366.21,28,0.00056
396.59,31,0.00062
429.49,45,0.0009
465.12,69,0.00138
503.71,86,0.00172
545.49,107,0.00214
590.74,139,0.00278
639.75,158,0.00316
692.82,195,0.0039
750.29,243,0.00486
812.54,305,0.0061
879.94,340,0.0068
952.94,422,0.00844
1032,495,0.0099
1117.6,588,0.01176
1210.3,772,0.01544
1310.7,882,0.01764
1419.4,1058,0.02116
1537.2,1179,0.02358
1664.7,1362,0.02724
1802.8,1565,0.0313
1952.4,1733,0.03466
2114.3,1847,0.03694
2289.7,1911,0.03822
2479.7,1971,0.03942
