Bin , nEvents , Efficiencies
150,0,0
160,1,4e-05
170,0,0
180,0,0
190,0,0
200,1,4e-05
220,0,0
240,0,0
260,0,0
280,0,0
300,0,0
320,1,4e-05
340,0,0
360,0,0
380,0,0
400,0,0
420,0,0
440,1,4e-05
460,0,0
480,1,4e-05
500,1,4e-05
520,2,8e-05
540,1,4e-05
560,2,8e-05
580,0,0
600,0,0
630,2,8e-05
660,1,4e-05
690,2,8e-05
720,2,8e-05
750,4,0.00016
780,3,0.00012
810,5,0.0002
840,6,0.00024
870,6,0.00024
900,8,0.00032
950,16,0.00064
1000,19,0.00076
1050,28,0.00112
1100,16,0.00064
1150,18,0.00072
1200,26,0.00104
1250,39,0.00156
1310,39,0.00156
1370,29,0.00116
1430,46,0.00184
1490,46,0.00184
1550,46,0.00184
1610,60,0.0024
1680,61,0.00244
1750,74,0.00296
1820,71,0.00284
1890,82,0.00328
1970,99,0.00396
2050,106,0.00424
