Bin , nEvents , Efficiencies
150,34,0.00068
160,34,0.00068
170,52,0.00104
180,45,0.0009
190,55,0.0011
200,115,0.0023
220,124,0.00248
240,118,0.00236
260,144,0.00288
280,156,0.00312
300,168,0.00336
320,173,0.00346
340,178,0.00356
360,206,0.00412
380,212,0.00424
400,221,0.00442
420,231,0.00462
440,254,0.00508
460,288,0.00576
480,269,0.00538
500,279,0.00558
520,282,0.00564
540,282,0.00564
560,281,0.00562
580,303,0.00606
600,510,0.0102
630,496,0.00992
660,506,0.01012
690,516,0.01032
720,502,0.01004
750,523,0.01046
780,532,0.01064
810,592,0.01184
840,527,0.01054
870,539,0.01078
900,876,0.01752
950,902,0.01804
1000,840,0.0168
1050,826,0.01652
1100,811,0.01622
1150,705,0.0141
1200,710,0.0142
1250,793,0.01586
1310,736,0.01472
1370,634,0.01268
1430,608,0.01216
1490,588,0.01176
1550,462,0.00924
1610,527,0.01054
1680,456,0.00912
1750,383,0.00766
1820,322,0.00644
1890,313,0.00626
1970,316,0.00632
2050,250,0.005
