Bin , nEvents , Efficiencies
150,1,4e-05
160,1,4e-05
170,0,0
180,3,0.00012
190,0,0
200,3,0.00012
220,3,0.00012
240,1,4e-05
260,2,8e-05
280,10,0.0004
300,7,0.00028
320,10,0.0004
340,16,0.00064
360,17,0.00068
380,26,0.00104
400,30,0.0012
420,18,0.00072
440,32,0.00128
460,32,0.00128
480,39,0.00156
500,38,0.00152
520,43,0.00172
540,45,0.0018
560,52,0.00208
580,48,0.00192
600,82,0.00328
630,98,0.00392
660,85,0.0034
690,104,0.00416
720,88,0.00352
750,81,0.00324
780,96,0.00384
810,108,0.00432
840,113,0.00452
870,127,0.00508
900,198,0.00792
950,199,0.00796
1000,202,0.00808
1050,236,0.00944
1100,241,0.00964
1150,208,0.00832
1200,206,0.00824
1250,273,0.01092
1310,267,0.01068
1370,300,0.012
1430,282,0.01128
1490,289,0.01156
1550,283,0.01132
1610,346,0.01384
1680,318,0.01272
1750,305,0.0122
1820,312,0.01248
1890,384,0.01536
1970,336,0.01344
2050,362,0.01448
