Bin , nEvents , Efficiencies
150,156,0.00312
160,139,0.00278
170,140,0.0028
180,143,0.00286
190,136,0.00272
200,308,0.00616
220,326,0.00652
240,298,0.00596
260,379,0.00758
280,345,0.0069
300,351,0.00702
320,351,0.00702
340,368,0.00736
360,386,0.00772
380,367,0.00734
400,352,0.00704
420,356,0.00712
440,395,0.0079
460,338,0.00676
480,352,0.00704
500,325,0.0065
520,337,0.00674
540,332,0.00664
560,330,0.0066
580,316,0.00632
600,505,0.0101
630,500,0.01
660,468,0.00936
690,456,0.00912
720,479,0.00958
750,400,0.008
780,426,0.00852
810,374,0.00748
840,422,0.00844
870,381,0.00762
900,636,0.01272
950,558,0.01116
1000,518,0.01036
1050,488,0.00976
1100,506,0.01012
1150,430,0.0086
1200,441,0.00882
1250,457,0.00914
1310,406,0.00812
1370,417,0.00834
1430,396,0.00792
1490,324,0.00648
1550,358,0.00716
1610,354,0.00708
1680,348,0.00696
1750,299,0.00598
1820,306,0.00612
1890,241,0.00482
1970,279,0.00558
2050,233,0.00466
