Bin , nEvents , Efficiencies
152.41,255,0.0051
165.05,277,0.00554
178.75,311,0.00622
193.57,382,0.00764
209.63,433,0.00866
227.02,480,0.0096
245.86,561,0.01122
266.25,659,0.01318
288.34,674,0.01348
312.26,721,0.01442
338.16,791,0.01582
366.21,882,0.01764
396.59,953,0.01906
429.49,1039,0.02078
465.12,1143,0.02286
503.71,1161,0.02322
545.49,1199,0.02398
590.74,1259,0.02518
639.75,1334,0.02668
692.82,1391,0.02782
750.29,1445,0.0289
812.54,1470,0.0294
879.94,1473,0.02946
952.94,1418,0.02836
1032,1443,0.02886
1117.6,1394,0.02788
1210.3,1352,0.02704
1310.7,1298,0.02596
1419.4,1233,0.02466
1537.2,1082,0.02164
1664.7,1037,0.02074
1802.8,879,0.01758
1952.4,745,0.0149
2114.3,621,0.01242
2289.7,510,0.0102
2479.7,423,0.00846
