Bin , nEvents , Efficiencies
152.41,132,0.00528
165.05,174,0.00696
178.75,213,0.00852
193.57,181,0.00724
209.63,239,0.00956
227.02,273,0.01092
245.86,308,0.01232
266.25,339,0.01356
288.34,375,0.015
312.26,386,0.01544
338.16,437,0.01748
366.21,443,0.01772
396.59,518,0.02072
429.49,509,0.02036
465.12,568,0.02272
503.71,606,0.02424
545.49,635,0.0254
590.74,663,0.02652
639.75,682,0.02728
692.82,728,0.02912
750.29,766,0.03064
812.54,779,0.03116
879.94,799,0.03196
952.94,758,0.03032
1032,729,0.02916
1117.6,744,0.02976
1210.3,713,0.02852
1310.7,595,0.0238
1419.4,575,0.023
1537.2,571,0.02284
1664.7,484,0.01936
1802.8,422,0.01688
1952.4,346,0.01384
2114.3,314,0.01256
2289.7,240,0.0096
2479.7,177,0.00708
