Bin , nEvents , Efficiencies
150,177,0.00708
160,138,0.00552
170,144,0.00576
180,171,0.00684
190,162,0.00648
200,325,0.013
220,348,0.01392
240,340,0.0136
260,307,0.01228
280,276,0.01104
300,295,0.0118
320,299,0.01196
340,241,0.00964
360,256,0.01024
380,269,0.01076
400,240,0.0096
420,254,0.01016
440,234,0.00936
460,218,0.00872
480,200,0.008
500,219,0.00876
520,199,0.00796
540,155,0.0062
560,162,0.00648
580,153,0.00612
600,250,0.01
630,214,0.00856
660,207,0.00828
690,171,0.00684
720,193,0.00772
750,163,0.00652
780,163,0.00652
810,146,0.00584
840,164,0.00656
870,170,0.0068
900,201,0.00804
950,198,0.00792
1000,171,0.00684
1050,159,0.00636
1100,165,0.0066
1150,109,0.00436
1200,117,0.00468
1250,117,0.00468
1310,99,0.00396
1370,103,0.00412
1430,96,0.00384
1490,82,0.00328
1550,72,0.00288
1610,71,0.00284
1680,64,0.00256
1750,67,0.00268
1820,54,0.00216
1890,52,0.00208
1970,40,0.0016
2050,41,0.00164
