Bin , nEvents , Efficiencies
150,968,0.01936
160,864,0.01728
170,730,0.0146
180,712,0.01424
190,637,0.01274
200,1199,0.02398
220,1075,0.0215
240,906,0.01812
260,822,0.01644
280,665,0.0133
300,593,0.01186
320,574,0.01148
340,535,0.0107
360,416,0.00832
380,472,0.00944
400,363,0.00726
420,368,0.00736
440,284,0.00568
460,290,0.0058
480,259,0.00518
500,234,0.00468
520,217,0.00434
540,209,0.00418
560,194,0.00388
580,190,0.0038
600,216,0.00432
630,207,0.00414
660,180,0.0036
690,159,0.00318
720,150,0.003
750,112,0.00224
780,112,0.00224
810,104,0.00208
840,91,0.00182
870,81,0.00162
900,137,0.00274
950,111,0.00222
1000,108,0.00216
1050,77,0.00154
1100,61,0.00122
1150,68,0.00136
1200,49,0.00098
1250,54,0.00108
1310,46,0.00092
1370,37,0.00074
1430,33,0.00066
1490,26,0.00052
1550,21,0.00042
1610,22,0.00044
1680,14,0.00028
1750,10,0.0002
1820,10,0.0002
1890,9,0.00018
1970,8,0.00016
2050,3,6e-05
