Bin , nEvents , Efficiencies
152.41,1572,0.03144
165.05,1617,0.03234
178.75,1554,0.03108
193.57,1504,0.03008
209.63,1397,0.02794
227.02,1399,0.02798
245.86,1299,0.02598
266.25,1250,0.025
288.34,1196,0.02392
312.26,1119,0.02238
338.16,1100,0.022
366.21,969,0.01938
396.59,964,0.01928
429.49,811,0.01622
465.12,749,0.01498
503.71,719,0.01438
545.49,610,0.0122
590.74,588,0.01176
639.75,503,0.01006
692.82,438,0.00876
750.29,368,0.00736
812.54,334,0.00668
879.94,255,0.0051
952.94,252,0.00504
1032,202,0.00404
1117.6,151,0.00302
1210.3,128,0.00256
1310.7,111,0.00222
1419.4,83,0.00166
1537.2,60,0.0012
1664.7,46,0.00092
1802.8,29,0.00058
1952.4,23,0.00046
2114.3,18,0.00036
2289.7,12,0.00024
2479.7,10,0.0002
