Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,3,6e-05
180,0,0
190,0,0
200,3,6e-05
220,6,0.00012
240,7,0.00014
260,4,8e-05
280,6,0.00012
300,8,0.00016
320,10,0.0002
340,8,0.00016
360,19,0.00038
380,17,0.00034
400,18,0.00036
420,29,0.00058
440,30,0.0006
460,30,0.0006
480,41,0.00082
500,51,0.00102
520,53,0.00106
540,59,0.00118
560,74,0.00148
580,68,0.00136
600,135,0.0027
630,106,0.00212
660,124,0.00248
690,104,0.00208
720,119,0.00238
750,115,0.0023
780,144,0.00288
810,136,0.00272
840,155,0.0031
870,151,0.00302
900,240,0.0048
950,270,0.0054
1000,292,0.00584
1050,286,0.00572
1100,293,0.00586
1150,305,0.0061
1200,344,0.00688
1250,410,0.0082
1310,395,0.0079
1370,462,0.00924
1430,455,0.0091
1490,407,0.00814
1550,459,0.00918
1610,519,0.01038
1680,537,0.01074
1750,565,0.0113
1820,562,0.01124
1890,613,0.01226
1970,610,0.0122
2050,586,0.01172
