Bin , nEvents , Efficiencies
152.41,16,0.00032
165.05,25,0.0005
178.75,36,0.00072
193.57,51,0.00102
209.63,53,0.00106
227.02,90,0.0018
245.86,133,0.00266
266.25,154,0.00308
288.34,204,0.00408
312.26,266,0.00532
338.16,295,0.0059
366.21,339,0.00678
396.59,369,0.00738
429.49,444,0.00888
465.12,533,0.01066
503.71,575,0.0115
545.49,719,0.01438
590.74,855,0.0171
639.75,969,0.01938
692.82,1044,0.02088
750.29,1220,0.0244
812.54,1393,0.02786
879.94,1520,0.0304
952.94,1608,0.03216
1032,1750,0.035
1117.6,1962,0.03924
1210.3,2078,0.04156
1310.7,2149,0.04298
1419.4,2170,0.0434
1537.2,2204,0.04408
1664.7,2058,0.04116
1802.8,2022,0.04044
1952.4,1723,0.03446
2114.3,1536,0.03072
2289.7,1143,0.02286
2479.7,902,0.01804
