Bin , nEvents , Efficiencies
150,43,0.00086
160,54,0.00108
170,58,0.00116
180,77,0.00154
190,86,0.00172
200,176,0.00352
220,218,0.00436
240,196,0.00392
260,222,0.00444
280,256,0.00512
300,252,0.00504
320,273,0.00546
340,296,0.00592
360,305,0.0061
380,308,0.00616
400,341,0.00682
420,354,0.00708
440,354,0.00708
460,392,0.00784
480,389,0.00778
500,460,0.0092
520,412,0.00824
540,424,0.00848
560,432,0.00864
580,439,0.00878
600,625,0.0125
630,675,0.0135
660,662,0.01324
690,667,0.01334
720,674,0.01348
750,671,0.01342
780,651,0.01302
810,635,0.0127
840,629,0.01258
870,620,0.0124
900,1004,0.02008
950,850,0.017
1000,851,0.01702
1050,793,0.01586
1100,677,0.01354
1150,647,0.01294
1200,519,0.01038
1250,607,0.01214
1310,509,0.01018
1370,456,0.00912
1430,384,0.00768
1490,330,0.0066
1550,294,0.00588
1610,282,0.00564
1680,244,0.00488
1750,204,0.00408
1820,191,0.00382
1890,152,0.00304
1970,139,0.00278
2050,121,0.00242
