Bin , nEvents , Efficiencies
152.41,15,0.0003
165.05,17,0.00034
178.75,27,0.00054
193.57,39,0.00078
209.63,69,0.00138
227.02,88,0.00176
245.86,119,0.00238
266.25,170,0.0034
288.34,212,0.00424
312.26,266,0.00532
338.16,291,0.00582
366.21,377,0.00754
396.59,432,0.00864
429.49,551,0.01102
465.12,573,0.01146
503.71,689,0.01378
545.49,776,0.01552
590.74,909,0.01818
639.75,1057,0.02114
692.82,1255,0.0251
750.29,1415,0.0283
812.54,1711,0.03422
879.94,1852,0.03704
952.94,1925,0.0385
1032,2324,0.04648
1117.6,2262,0.04524
1210.3,2309,0.04618
1310.7,2395,0.0479
1419.4,2311,0.04622
1537.2,2141,0.04282
1664.7,1960,0.0392
1802.8,1704,0.03408
1952.4,1301,0.02602
2114.3,1035,0.0207
2289.7,781,0.01562
2479.7,496,0.00992
