Bin , nEvents , Efficiencies
150,18,0.00036
160,17,0.00034
170,19,0.00038
180,18,0.00036
190,17,0.00034
200,35,0.0007
220,52,0.00104
240,56,0.00112
260,84,0.00168
280,94,0.00188
300,104,0.00208
320,129,0.00258
340,141,0.00282
360,138,0.00276
380,129,0.00258
400,163,0.00326
420,156,0.00312
440,192,0.00384
460,195,0.0039
480,185,0.0037
500,204,0.00408
520,196,0.00392
540,196,0.00392
560,206,0.00412
580,204,0.00408
600,337,0.00674
630,351,0.00702
660,365,0.0073
690,357,0.00714
720,398,0.00796
750,395,0.0079
780,394,0.00788
810,431,0.00862
840,432,0.00864
870,428,0.00856
900,709,0.01418
950,750,0.015
1000,748,0.01496
1050,761,0.01522
1100,741,0.01482
1150,740,0.0148
1200,663,0.01326
1250,808,0.01616
1310,797,0.01594
1370,754,0.01508
1430,688,0.01376
1490,705,0.0141
1550,610,0.0122
1610,676,0.01352
1680,657,0.01314
1750,569,0.01138
1820,490,0.0098
1890,580,0.0116
1970,501,0.01002
2050,445,0.0089
