Bin , nEvents , Efficiencies
152.41,10,0.0002
165.05,11,0.00022
178.75,24,0.00048
193.57,27,0.00054
209.63,31,0.00062
227.02,40,0.0008
245.86,62,0.00124
266.25,72,0.00144
288.34,120,0.0024
312.26,148,0.00296
338.16,162,0.00324
366.21,206,0.00412
396.59,257,0.00514
429.49,332,0.00664
465.12,346,0.00692
503.71,437,0.00874
545.49,506,0.01012
590.74,605,0.0121
639.75,715,0.0143
692.82,844,0.01688
750.29,929,0.01858
812.54,1055,0.0211
879.94,1280,0.0256
952.94,1404,0.02808
1032,1566,0.03132
1117.6,1770,0.0354
1210.3,1984,0.03968
1310.7,2003,0.04006
1419.4,2161,0.04322
1537.2,2339,0.04678
1664.7,2281,0.04562
1802.8,2241,0.04482
1952.4,2216,0.04432
2114.3,1979,0.03958
2289.7,1677,0.03354
2479.7,1363,0.02726
