Bin , nEvents , Efficiencies
150,235,0.0047
160,285,0.0057
170,269,0.00538
180,294,0.00588
190,290,0.0058
200,604,0.01208
220,604,0.01208
240,652,0.01304
260,598,0.01196
280,583,0.01166
300,662,0.01324
320,646,0.01292
340,624,0.01248
360,601,0.01202
380,563,0.01126
400,588,0.01176
420,537,0.01074
440,517,0.01034
460,550,0.011
480,496,0.00992
500,487,0.00974
520,488,0.00976
540,437,0.00874
560,452,0.00904
580,437,0.00874
600,608,0.01216
630,587,0.01174
660,547,0.01094
690,523,0.01046
720,476,0.00952
750,415,0.0083
780,429,0.00858
810,358,0.00716
840,349,0.00698
870,291,0.00582
900,467,0.00934
950,372,0.00744
1000,412,0.00824
1050,299,0.00598
1100,253,0.00506
1150,227,0.00454
1200,177,0.00354
1250,204,0.00408
1310,196,0.00392
1370,165,0.0033
1430,132,0.00264
1490,128,0.00256
1550,112,0.00224
1610,100,0.002
1680,96,0.00192
1750,66,0.00132
1820,66,0.00132
1890,42,0.00084
1970,39,0.00078
2050,32,0.00064
