Bin , nEvents , Efficiencies
150,150,0.003
160,161,0.00322
170,146,0.00292
180,182,0.00364
190,159,0.00318
200,344,0.00688
220,366,0.00732
240,423,0.00846
260,443,0.00886
280,417,0.00834
300,444,0.00888
320,384,0.00768
340,385,0.0077
360,408,0.00816
380,383,0.00766
400,439,0.00878
420,399,0.00798
440,405,0.0081
460,371,0.00742
480,414,0.00828
500,403,0.00806
520,374,0.00748
540,354,0.00708
560,383,0.00766
580,357,0.00714
600,509,0.01018
630,518,0.01036
660,522,0.01044
690,499,0.00998
720,468,0.00936
750,448,0.00896
780,422,0.00844
810,407,0.00814
840,422,0.00844
870,391,0.00782
900,628,0.01256
950,566,0.01132
1000,540,0.0108
1050,453,0.00906
1100,451,0.00902
1150,430,0.0086
1200,395,0.0079
1250,460,0.0092
1310,413,0.00826
1370,397,0.00794
1430,341,0.00682
1490,340,0.0068
1550,249,0.00498
1610,304,0.00608
1680,251,0.00502
1750,253,0.00506
1820,200,0.004
1890,190,0.0038
1970,187,0.00374
2050,159,0.00318
