Bin , nEvents , Efficiencies
150,230,0.0046
160,253,0.00506
170,267,0.00534
180,295,0.0059
190,268,0.00536
200,600,0.012
220,609,0.01218
240,599,0.01198
260,609,0.01218
280,598,0.01196
300,629,0.01258
320,637,0.01274
340,580,0.0116
360,600,0.012
380,588,0.01176
400,564,0.01128
420,563,0.01126
440,530,0.0106
460,524,0.01048
480,494,0.00988
500,473,0.00946
520,472,0.00944
540,470,0.0094
560,434,0.00868
580,424,0.00848
600,604,0.01208
630,570,0.0114
660,514,0.01028
690,496,0.00992
720,488,0.00976
750,425,0.0085
780,384,0.00768
810,389,0.00778
840,341,0.00682
870,307,0.00614
900,461,0.00922
950,435,0.0087
1000,394,0.00788
1050,317,0.00634
1100,237,0.00474
1150,239,0.00478
1200,194,0.00388
1250,195,0.0039
1310,181,0.00362
1370,168,0.00336
1430,141,0.00282
1490,128,0.00256
1550,109,0.00218
1610,97,0.00194
1680,74,0.00148
1750,59,0.00118
1820,63,0.00126
1890,39,0.00078
1970,45,0.0009
2050,38,0.00076
