Bin , nEvents , Efficiencies
152.41,201,0.00402
165.05,219,0.00438
178.75,273,0.00546
193.57,317,0.00634
209.63,359,0.00718
227.02,404,0.00808
245.86,454,0.00908
266.25,517,0.01034
288.34,573,0.01146
312.26,598,0.01196
338.16,676,0.01352
366.21,695,0.0139
396.59,863,0.01726
429.49,961,0.01922
465.12,1004,0.02008
503.71,1023,0.02046
545.49,1156,0.02312
590.74,1219,0.02438
639.75,1288,0.02576
692.82,1316,0.02632
750.29,1426,0.02852
812.54,1390,0.0278
879.94,1457,0.02914
952.94,1419,0.02838
1032,1473,0.02946
1117.6,1506,0.03012
1210.3,1456,0.02912
1310.7,1394,0.02788
1419.4,1352,0.02704
1537.2,1236,0.02472
1664.7,1177,0.02354
1802.8,1075,0.0215
1952.4,911,0.01822
2114.3,765,0.0153
2289.7,661,0.01322
2479.7,539,0.01078
