Bin , nEvents , Efficiencies
150,387,0.00774
160,367,0.00734
170,360,0.0072
180,331,0.00662
190,379,0.00758
200,747,0.01494
220,713,0.01426
240,756,0.01512
260,739,0.01478
280,734,0.01468
300,665,0.0133
320,600,0.012
340,631,0.01262
360,613,0.01226
380,601,0.01202
400,535,0.0107
420,466,0.00932
440,496,0.00992
460,470,0.0094
480,469,0.00938
500,414,0.00828
520,403,0.00806
540,380,0.0076
560,370,0.0074
580,352,0.00704
600,482,0.00964
630,435,0.0087
660,466,0.00932
690,365,0.0073
720,370,0.0074
750,357,0.00714
780,300,0.006
810,296,0.00592
840,260,0.0052
870,260,0.0052
900,309,0.00618
950,311,0.00622
1000,283,0.00566
1050,250,0.005
1100,237,0.00474
1150,186,0.00372
1200,171,0.00342
1250,187,0.00374
1310,137,0.00274
1370,107,0.00214
1430,102,0.00204
1490,92,0.00184
1550,80,0.0016
1610,68,0.00136
1680,60,0.0012
1750,39,0.00078
1820,36,0.00072
1890,26,0.00052
1970,23,0.00046
2050,8,0.00016
