Mass,"X10LL[1,1]","X10LL[2,1]","X10LL[3,1]","X10RR[1,1]","X10RR[2,1]","X10RR[3,1]","X10LL[1,2]","X10LL[2,2]","X10LL[3,2]","X10RR[1,2]","X10RR[2,2]","X10RR[3,2]","X10LL[1,3]","X10LL[2,3]","X10LL[3,3]","X10RR[1,3]","X10RR[2,3]","X10RR[3,3]"
1000,"-1.0334","-0.2158876","-0.0646238","-0.400158","-0.081008","-0.02413852","-1.0334","-0.2158163","-0.0646238","-0.400158","-0.081008","-0.02413852","-1.032122","-0.2154314","-0.0648048","-0.40083","-0.0808357","-0.0242302"
1500,"-0.46684","-0.0971551","-0.02911302","-0.1803359","-0.03639588","-0.01086495","-0.46684","-0.215668","-0.02911302","-0.1803359","-0.03639588","-0.01086495","-0.465663","-0.0969258","-0.02908087","-0.1809206","-0.03643621","-0.01089489"
2000,"-0.2638495","-0.054465","-0.0164231","-0.1024911","-0.02049409","-0.00616062","-0.2638495","-0.0547238","-0.0164231","-0.1024911","-0.02049409","-0.00616062","-0.265397","-0.0547673","-0.01638685","-0.1028983","-0.0205911","-0.00616117"
2500,"-0.1697","-0.03506899","-0.01051223","-0.0658506","-0.01318453","-0.003932078","-0.1697437","-0.03503559","-0.01051223","-0.0658506","-0.01318453","-0.003932078","-0.1686338","-0.03492881","-0.01055709","-0.0654544","-0.01311605","-0.003949251"
3000,"-0.1177","-0.02445397","-0.00731827","-0.0459256","-0.00919593","-0.002739129","-0.1182996","-0.02443411","-0.00731827","-0.0459256","-0.00919593","-0.002739129","-0.118213","-0.0244493","-0.00727795","-0.0458667","-0.00918351","-0.002728179"
3500,"-0.08702","-0.01792968","-0.005362112","-0.033823","-0.00673584","-0.00201093","-0.0868328","-0.01792968","-0.005362112","-0.033823","-0.00673584","-0.00201093","-0.0869257","-0.01787854","-0.005370923","-0.0336624","-0.00673108","-0.0020105659"
4000,"-0.06637","-0.01374064","-0.00411339","-0.0258251","-0.00515557","-0.001543575","-0.0666379","-0.01374064","-0.00411339","-0.0258251","-0.00515557","-0.001543575","-0.0664314","-0.01372996","-0.004124089","-0.0259442","-0.00515609","-0.0015437173"
4500,"-0.05252","-0.01084273","-0.003247134","-0.0204291","-0.00406025","-0.001217063","-0.0524649","-0.01084273","-0.003247134","-0.0204291","-0.00406025","-0.001217063","-0.052693899999999995","-0.01084094","-0.0032440661","-0.0204233","-0.00408183","-0.0012161417"
5000,"-0.04272","-0.008793297","-0.002636776","-0.01657612","-0.003306041","-0.000986465","-0.04265399","-0.008793297","-0.002636776","-0.01657612","-0.003306041","-0.000986465","-0.04234147","-0.008798851","-0.002632344","-0.01653818","-0.003300206","-0.0009859712"
5500,"-0.0352896","-0.007254497","-0.0021784171","-0.01369754","-0.00272985","-0.0008148795","-0.0352896","-0.007254497","-0.0021784171","-0.01369754","-0.00272985","-0.0008148795","-0.03525252","-0.007267793","-0.0021755372","-0.01369976","-0.002728339","-0.0008149407"
6000,"-0.02963432","-0.006107846","-0.0018300421","-0.01151504","-0.002291906","-0.0006855045","-0.02963432","-0.006107846","-0.0018300421","-0.01151504","-0.002291906","-0.0006855045","-0.02961092","-0.006101893","-0.0018275366","-0.0115057","-0.002296335","-0.0006856175"
6500,"-0.02520459","-0.005195986","-0.0015564269","-0.0097747","-0.001949657","-0.000583634","-0.02520459","-0.005195986","-0.0015564269","-0.0097747","-0.001949657","-0.000583634","-0.02519981","-0.005203036","-0.0015595249","-0.00980237","-0.001950543","-0.0005841651"
7000,"-0.02176625","-0.004491583","-0.0013420187","-0.00846082","-0.001683512","-0.0005031628","-0.02176625","-0.004491583","-0.0013420187","-0.00846082","-0.001683512","-0.0005031628","-0.02174736","-0.004488588","-0.0013441121","-0.0084432","-0.001686252","-0.00050432023"
7500,"-0.01897114","-0.0039093937","-0.0011687955","-0.00734503","-0.001466269","-0.0004389643","-0.01897114","-0.0039093937","-0.0011687955","-0.00734503","-0.001466269","-0.0004389643","-0.01898793","-0.0039060408","-0.0011702584","-0.00736521","-0.0014666643","-0.00043885425"
8000,"-0.01665294","-0.0034347111","-0.0010295655","-0.00647469","-0.001287822","-0.0003854629","-0.01665294","-0.0034347111","-0.0010295655","-0.00647469","-0.001287822","-0.0003854629","-0.016658753","-0.0034344774","-0.0010266618","-0.006459366","-0.0012882719","-0.00038490809"
