Mass,"X10LL[1,1]","X10LL[2,1]","X10LL[3,1]","X10RR[1,1]","X10RR[2,1]","X10RR[3,1]","X10LL[1,2]","X10LL[2,2]","X10LL[3,2]","X10RR[1,2]","X10RR[2,2]","X10RR[3,2]","X10LL[1,3]","X10LL[2,3]","X10LL[3,3]","X10RR[1,3]","X10RR[2,3]","X10RR[3,3]"
1000,"0.295619","0.0058775","0.00064743","0.100032","0.0038958","0.00064743","0.295619","0.0058775","0.00064743","0.100032","0.0038958","0.00064743","0.295619","0.0058775","0.00064743","0.100032","0.0038958","0.00064743"
1500,"0.0165759","0.000245242","1.93E-05","0.0050243","0.000176011","1.93E-05","0.0165759","0.000245242","1.93E-05","0.0050243","0.000176011","1.93E-05","0.0165759","0.000245242","1.93E-05","0.0050243","0.000176011","1.93E-05"
2000,"0.00128676","1.54E-05","7.72E-07","0.00034734","1.22E-05","7.72E-07","0.00128676","1.54E-05","7.72E-07","0.00034734","1.22E-05","7.72E-07","0.00128676","1.54E-05","7.72E-07","0.00034734","1.22E-05","7.72E-07"
2500,"0.0001137","1.18E-06","3.12E-08","2.76E-05","1.03E-06","3.12E-08","0.000113717","1.18E-06","3.12E-08","2.76E-05","1.03E-06","3.12E-08","0.000113717","1.18E-06","3.12E-08","2.76E-05","1.03E-06","3.12E-08"
3000,"1.073e-05","9.95E-08","1.12E-09","2.40E-06","9.36E-08","1.12E-09","1.07E-05","9.95E-08","1.12E-09","2.40E-06","9.36E-08","1.12E-09","1.07E-05","9.95E-08","1.12E-09","2.40E-06","9.36E-08","1.12E-09"
3500,"1.09e-06","8.60E-09","3.26E-11","2.29E-07","8.44E-09","3.26E-11","1.09E-06","8.60E-09","3.26E-11","2.29E-07","8.44E-09","3.26E-11","1.09159e-06","8.60E-09","3.26E-11","2.29E-07","8.44E-09","3.26E-11"
4000,"1.1e-07","6.80E-10","7.05E-13","2.19E-08","6.76E-10","7.05E-13","1.10E-07","6.80E-10","7.05E-13","2.19E-08","6.76E-10","7.05E-13","1.10327e-07","6.80E-10","7.05E-13","2.19E-08","6.76E-10","7.05E-13"
4500,"8.758e-09","4.05E-11","9.42E-15","1.66E-09","4.05E-11","9.42E-15","8.72E-09","4.05E-11","9.42E-15","1.66E-09","4.05E-11","9.42E-15","8.7542e-09","4.05E-11","9.42E-15","1.66E-09","4.05E-11","9.42E-15"
5000,"3.891e-10","1.38E-12","5.29E-17","7.26E-11","1.38E-12","5.29E-17","3.90E-10","1.38E-12","5.29E-17","7.26E-11","1.38E-12","5.29E-17","3.88969e-10","1.38E-12","5.29E-17","7.26E-11","1.38E-12","5.29E-17"
5500,"5.28E-12","1.79E-14","5.27E-20","1.01E-12","1.79E-14","5.27E-20","5.28E-12","1.79E-14","5.27E-20","1.01E-12","1.79E-14","5.27E-20","5.28E-12","1.79E-14","5.27E-20","1.01E-12","1.79E-14","5.27E-20"
6000,"3.88E-15","6.56E-17","8.82E-25","8.00E-16","6.56E-17","8.82E-25","3.88E-15","6.56E-17","8.82E-25","8.00E-16","6.56E-17","8.82E-25","3.88E-15","6.56E-17","8.82E-25","8.00E-16","6.56E-17","8.82E-25"
