Bin , nEvents , Efficiencies
150,1004,0.02008
160,918,0.01836
170,767,0.01534
180,760,0.0152
190,672,0.01344
200,1318,0.02636
220,1053,0.02106
240,846,0.01692
260,852,0.01704
280,642,0.01284
300,560,0.0112
320,575,0.0115
340,481,0.00962
360,420,0.0084
380,450,0.009
400,370,0.0074
420,304,0.00608
440,276,0.00552
460,280,0.0056
480,236,0.00472
500,208,0.00416
520,194,0.00388
540,148,0.00296
560,162,0.00324
580,136,0.00272
600,207,0.00414
630,218,0.00436
660,194,0.00388
690,148,0.00296
720,150,0.003
750,116,0.00232
780,91,0.00182
810,94,0.00188
840,105,0.0021
870,110,0.0022
900,119,0.00238
950,90,0.0018
1000,85,0.0017
1050,82,0.00164
1100,59,0.00118
1150,52,0.00104
1200,48,0.00096
1250,77,0.00154
1310,29,0.00058
1370,40,0.0008
1430,21,0.00042
1490,25,0.0005
1550,40,0.0008
1610,21,0.00042
1680,11,0.00022
1750,27,0.00054
1820,10,0.0002
1890,16,0.00032
1970,7,0.00014
2050,6,0.00012
