Bin , nEvents , Efficiencies
150,1204,0.02408
160,1022,0.02044
170,925,0.0185
180,756,0.01512
190,703,0.01406
200,1140,0.0228
220,975,0.0195
240,800,0.016
260,641,0.01282
280,556,0.01112
300,462,0.00924
320,361,0.00722
340,338,0.00676
360,276,0.00552
380,240,0.0048
400,210,0.0042
420,172,0.00344
440,141,0.00282
460,140,0.0028
480,122,0.00244
500,101,0.00202
520,103,0.00206
540,93,0.00186
560,86,0.00172
580,77,0.00154
600,83,0.00166
630,84,0.00168
660,61,0.00122
690,63,0.00126
720,36,0.00072
750,53,0.00106
780,39,0.00078
810,36,0.00072
840,37,0.00074
870,29,0.00058
900,42,0.00084
950,31,0.00062
1000,20,0.0004
1050,24,0.00048
1100,13,0.00026
1150,15,0.0003
1200,14,0.00028
1250,10,0.0002
1310,11,0.00022
1370,1,2e-05
1430,4,8e-05
1490,4,8e-05
1550,4,8e-05
1610,1,2e-05
1680,5,0.0001
1750,5,0.0001
1820,0,0.0
1890,2,4e-05
1970,3,6e-05
2050,1,2e-05
