Bin , nEvents , Efficiencies
150,0,0
160,1,4e-05
170,0,0
180,0,0
190,0,0
200,0,0
220,0,0
240,0,0
260,0,0
280,1,4e-05
300,0,0
320,1,4e-05
340,0,0
360,0,0
380,0,0
400,0,0
420,0,0
440,2,8e-05
460,0,0
480,0,0
500,1,4e-05
520,0,0
540,1,4e-05
560,1,4e-05
580,1,4e-05
600,4,0.00016
630,2,8e-05
660,1,4e-05
690,4,0.00016
720,6,0.00024
750,3,0.00012
780,8,0.00032
810,4,0.00016
840,9,0.00036
870,7,0.00028
900,12,0.00048
950,26,0.00104
1000,30,0.0012
1050,22,0.00088
1100,30,0.0012
1150,29,0.00116
1200,45,0.0018
1250,42,0.00168
1310,49,0.00196
1370,50,0.002
1430,46,0.00184
1490,50,0.002
1550,56,0.00224
1610,65,0.0026
1680,60,0.0024
1750,67,0.00268
1820,82,0.00328
1890,104,0.00416
1970,103,0.00412
2050,98,0.00392
