Bin , nEvents , Efficiencies
152.41,0,0
165.05,0,0
178.75,0,0
193.57,0,0
209.63,0,0
227.02,1,4e-05
245.86,0,0
266.25,0,0
288.34,1,4e-05
312.26,0,0
338.16,1,4e-05
366.21,0,0
396.59,1,4e-05
429.49,3,0.00012
465.12,2,8e-05
503.71,5,0.0002
545.49,4,0.00016
590.74,8,0.00032
639.75,11,0.00044
692.82,16,0.00064
750.29,15,0.0006
812.54,16,0.00064
879.94,28,0.00112
952.94,34,0.00136
1032,30,0.0012
1117.6,42,0.00168
1210.3,61,0.00244
1310.7,74,0.00296
1419.4,96,0.00384
1537.2,115,0.0046
1664.7,136,0.00544
1802.8,172,0.00688
1952.4,221,0.00884
2114.3,275,0.011
2289.7,343,0.01372
2479.7,399,0.01596
