Bin , nEvents , Efficiencies
150,2,4e-05
160,0,0.0
170,0,0.0
180,2,4e-05
190,2,4e-05
200,0,0.0
220,0,0.0
240,0,0.0
260,1,2e-05
280,1,2e-05
300,0,0.0
320,0,0.0
340,0,0.0
360,0,0.0
380,1,2e-05
400,0,0.0
420,0,0.0
440,0,0.0
460,0,0.0
480,1,2e-05
500,0,0.0
520,3,6e-05
540,0,0.0
560,0,0.0
580,0,0.0
600,0,0.0
630,1,2e-05
660,25,0.0005
690,11,0.00022
720,6,0.00012
750,18,0.00036
780,29,0.00058
810,33,0.00066
840,12,0.00024
870,3,6e-05
900,96,0.00192
950,73,0.00146
1000,49,0.00098
1050,60,0.0012
1100,83,0.00166
1150,94,0.00188
1200,65,0.0013
1250,107,0.00214
1310,113,0.00226
1370,172,0.00344
1430,101,0.00202
1490,122,0.00244
1550,150,0.003
1610,196,0.00392
1680,188,0.00376
1750,171,0.00342
1820,136,0.00272
1890,257,0.00514
1970,191,0.00382
2050,349,0.00698
