Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
220,0,0
240,0,0
260,0,0
280,1,4e-05
300,0,0
320,0,0
340,1,4e-05
360,1,4e-05
380,0,0
400,0,0
420,5,0.0002
440,3,0.00012
460,0,0
480,2,8e-05
500,5,0.0002
520,4,0.00016
540,4,0.00016
560,5,0.0002
580,6,0.00024
600,13,0.00052
630,8,0.00032
660,13,0.00052
690,21,0.00084
720,22,0.00088
750,17,0.00068
780,20,0.0008
810,21,0.00084
840,23,0.00092
870,23,0.00092
900,39,0.00156
950,47,0.00188
1000,65,0.0026
1050,48,0.00192
1100,59,0.00236
1150,62,0.00248
1200,60,0.0024
1250,89,0.00356
1310,89,0.00356
1370,105,0.0042
1430,112,0.00448
1490,111,0.00444
1550,113,0.00452
1610,149,0.00596
1680,157,0.00628
1750,167,0.00668
1820,176,0.00704
1890,202,0.00808
1970,215,0.0086
2050,236,0.00944
