Bin , nEvents , Efficiencies
152.41,38,0.00076
165.05,40,0.0008
178.75,65,0.0013
193.57,70,0.0014
209.63,105,0.0021
227.02,137,0.00274
245.86,165,0.0033
266.25,206,0.00412
288.34,260,0.0052
312.26,288,0.00576
338.16,341,0.00682
366.21,399,0.00798
396.59,426,0.00852
429.49,551,0.01102
465.12,657,0.01314
503.71,733,0.01466
545.49,816,0.01632
590.74,896,0.01792
639.75,1028,0.02056
692.82,1157,0.02314
750.29,1235,0.0247
812.54,1386,0.02772
879.94,1483,0.02966
952.94,1621,0.03242
1032,1659,0.03318
1117.6,1807,0.03614
1210.3,1837,0.03674
1310.7,1860,0.0372
1419.4,1857,0.03714
1537.2,1861,0.03722
1664.7,1764,0.03528
1802.8,1689,0.03378
1952.4,1569,0.03138
2114.3,1358,0.02716
2289.7,1132,0.02264
2479.7,961,0.01922
