Bin , nEvents , Efficiencies
152.41,2,8e-05
165.05,3,0.00012
178.75,4,0.00016
193.57,4,0.00016
209.63,7,0.00028
227.02,10,0.0004
245.86,10,0.0004
266.25,15,0.0006
288.34,20,0.0008
312.26,25,0.001
338.16,32,0.00128
366.21,39,0.00156
396.59,67,0.00268
429.49,75,0.003
465.12,106,0.00424
503.71,131,0.00524
545.49,133,0.00532
590.74,166,0.00664
639.75,204,0.00816
692.82,242,0.00968
750.29,240,0.0096
812.54,299,0.01196
879.94,322,0.01288
952.94,358,0.01432
1032,443,0.01772
1117.6,490,0.0196
1210.3,524,0.02096
1310.7,606,0.02424
1419.4,653,0.02612
1537.2,726,0.02904
1664.7,739,0.02956
1802.8,713,0.02852
1952.4,805,0.0322
2114.3,759,0.03036
2289.7,742,0.02968
2479.7,694,0.02776
