Bin , nEvents , Efficiencies
150,128,0.00256
160,122,0.00244
170,159,0.00318
180,73,0.00146
190,164,0.00328
200,368,0.00736
220,475,0.0095
240,294,0.00588
260,244,0.00488
280,295,0.0059
300,248,0.00496
320,182,0.00364
340,269,0.00538
360,401,0.00802
380,460,0.0092
400,437,0.00874
420,290,0.0058
440,387,0.00774
460,464,0.00928
480,504,0.01008
500,310,0.0062
520,229,0.00458
540,230,0.0046
560,203,0.00406
580,375,0.0075
600,521,0.01042
630,681,0.01362
660,316,0.00632
690,538,0.01076
720,350,0.007
750,352,0.00704
780,468,0.00936
810,221,0.00442
840,353,0.00706
870,418,0.00836
900,530,0.0106
950,625,0.0125
1000,580,0.0116
1050,464,0.00928
1100,558,0.01116
1150,376,0.00752
1200,376,0.00752
1250,388,0.00776
1310,543,0.01086
1370,569,0.01138
1430,330,0.0066
1490,445,0.0089
1550,278,0.00556
1610,350,0.007
1680,318,0.00636
1750,350,0.007
1820,196,0.00392
1890,264,0.00528
1970,301,0.00602
2050,220,0.0044
