Bin , nEvents , Efficiencies
152.41,148,0.00592
165.05,161,0.00644
178.75,188,0.00752
193.57,259,0.01036
209.63,215,0.0086
227.02,284,0.01136
245.86,267,0.01068
266.25,358,0.01432
288.34,369,0.01476
312.26,433,0.01732
338.16,465,0.0186
366.21,465,0.0186
396.59,510,0.0204
429.49,531,0.02124
465.12,524,0.02096
503.71,601,0.02404
545.49,596,0.02384
590.74,656,0.02624
639.75,652,0.02608
692.82,650,0.026
750.29,675,0.027
812.54,745,0.0298
879.94,715,0.0286
952.94,637,0.02548
1032,713,0.02852
1117.6,651,0.02604
1210.3,680,0.0272
1310.7,655,0.0262
1419.4,566,0.02264
1537.2,568,0.02272
1664.7,477,0.01908
1802.8,413,0.01652
1952.4,354,0.01416
2114.3,319,0.01276
2289.7,275,0.011
2479.7,212,0.00848
