Bin , nEvents , Efficiencies
152.41,133,0.00532
165.05,184,0.00736
178.75,226,0.00904
193.57,264,0.01056
209.63,248,0.00992
227.02,315,0.0126
245.86,299,0.01196
266.25,328,0.01312
288.34,384,0.01536
312.26,430,0.0172
338.16,432,0.01728
366.21,472,0.01888
396.59,543,0.02172
429.49,534,0.02136
465.12,546,0.02184
503.71,644,0.02576
545.49,660,0.0264
590.74,655,0.0262
639.75,678,0.02712
692.82,686,0.02744
750.29,664,0.02656
812.54,683,0.02732
879.94,739,0.02956
952.94,700,0.028
1032,660,0.0264
1117.6,683,0.02732
1210.3,653,0.02612
1310.7,651,0.02604
1419.4,528,0.02112
1537.2,521,0.02084
1664.7,456,0.01824
1802.8,419,0.01676
1952.4,326,0.01304
2114.3,319,0.01276
2289.7,249,0.00996
2479.7,172,0.00688
