Bin , nEvents , Efficiencies
150,304,0.00608
160,302,0.00604
170,297,0.00594
180,321,0.00642
190,310,0.0062
200,593,0.01186
220,627,0.01254
240,602,0.01204
260,604,0.01208
280,589,0.01178
300,543,0.01086
320,513,0.01026
340,558,0.01116
360,529,0.01058
380,511,0.01022
400,487,0.00974
420,457,0.00914
440,461,0.00922
460,427,0.00854
480,434,0.00868
500,390,0.0078
520,393,0.00786
540,364,0.00728
560,353,0.00706
580,347,0.00694
600,485,0.0097
630,436,0.00872
660,425,0.0085
690,403,0.00806
720,319,0.00638
750,353,0.00706
780,321,0.00642
810,307,0.00614
840,292,0.00584
870,293,0.00586
900,460,0.0092
950,370,0.0074
1000,340,0.0068
1050,351,0.00702
1100,291,0.00582
1150,302,0.00604
1200,236,0.00472
1250,259,0.00518
1310,233,0.00466
1370,227,0.00454
1430,211,0.00422
1490,159,0.00318
1550,142,0.00284
1610,145,0.0029
1680,119,0.00238
1750,133,0.00266
1820,99,0.00198
1890,105,0.0021
1970,86,0.00172
2050,84,0.00168
