Bin , nEvents , Efficiencies
152.41,258,0.01032
165.05,307,0.01228
178.75,331,0.01324
193.57,383,0.01532
209.63,433,0.01732
227.02,421,0.01684
245.86,473,0.01892
266.25,514,0.02056
288.34,535,0.0214
312.26,562,0.02248
338.16,599,0.02396
366.21,665,0.0266
396.59,625,0.025
429.49,609,0.02436
465.12,619,0.02476
503.71,675,0.027
545.49,640,0.0256
590.74,616,0.02464
639.75,599,0.02396
692.82,620,0.0248
750.29,603,0.02412
812.54,556,0.02224
879.94,517,0.02068
952.94,514,0.02056
1032,462,0.01848
1117.6,405,0.0162
1210.3,333,0.01332
1310.7,312,0.01248
1419.4,322,0.01288
1537.2,293,0.01172
1664.7,219,0.00876
1802.8,190,0.0076
1952.4,159,0.00636
2114.3,132,0.00528
2289.7,89,0.00356
2479.7,83,0.00332
